index,mid,display_name
0,/m/09x0r,言語
1,/m/0ytgt,兒童語音，孩子說話
2,/m/01h8n0,會話
3,/m/02qldy,旁白，獨白
4,/m/0261r1,胡說
5,/m/0brhx,語音合成器
6,/m/07p6fty,喊
7,/m/07q4ntr,怒吼
8,/m/07rwj3x,呼喊
9,/m/07sr1lc,大叫
10,/t/dd00135,孩子喊
11,/m/03qc9zr,尖叫
12,/m/02rtxlg,耳語
13,/m/01j3sz,笑聲
14,/t/dd00001,嬰兒的笑聲
15,/m/07r660_,傻笑
16,/m/07s04w4,暗笑
17,/m/07sq110,捧腹大笑
18,/m/07rgt08,輕笑，得意的高笑
19,/m/0463cq4,哭泣，哭泣
20,/t/dd00002,嬰兒哭聲，嬰兒哭聲的
21,/m/07qz6j3,嗚咽
22,/m/07qw_06,哀號，呻吟
23,/m/07plz5l,嘆
24,/m/015lz1,唱歌
25,/m/0l14jd,唱詩班
26,/m/01swy6,岳得爾
27,/m/02bk07,唄
28,/m/01c194,口頭禪
29,/t/dd00005,兒童歌唱
30,/t/dd00006,合成歌聲
31,/m/06bxc,說唱
32,/m/02fxyj,低唱
33,/m/07s2xch,呻吟
34,/m/07r4k75,咕嚕
35,/m/01w250,口哨
36,/m/0lyf6,呼吸
37,/m/07mzm6,哮
38,/m/01d3sd,打鼾
39,/m/07s0dtb,喘氣
40,/m/07pyy8b,喘氣
41,/m/07q0yl5,鼻息
42,/m/01b_21,咳嗽
43,/m/0dl9sf8,清嗓
44,/m/01hsr_,噴嚏
45,/m/07ppn3j,吸氣
46,/m/06h7j,跑
47,/m/07qv_x_,拖曳
48,/m/07pbtc8,行走，腳步聲
49,/m/03cczk,咀嚼，咀嚼
50,/m/07pdhp0,咬
51,/m/0939n_,漱口
52,/m/01g90h,肚子咕嚕
53,/m/03q5_w,打嗝，噯氣
54,/m/02p3nc,嗝
55,/m/02_nn,屁
56,/m/0k65p,手
57,/m/025_jnm,手指折斷
58,/m/0l15bq,拍手
59,/m/01jg02,心臟的聲音，心跳
60,/m/01jg1z,心臟雜音
61,/m/053hz1,歡呼
62,/m/028ght,掌聲
63,/m/07rkbfh,喋喋不休
64,/m/03qtwd,人群
65,/m/07qfr4h,眾聲喧嘩，言語噪聲，言語喋喋不休
66,/t/dd00013,孩子們玩
67,/m/0jbk,動物
68,/m/068hy,國內動物，寵物
69,/m/0bt9lr,狗
70,/m/05tny_,吠
71,/m/07r_k2n,業
72,/m/07qf0zm,嗥
73,/m/07rc7d9,吠聲
74,/m/0ghcn6,咆哮
75,/t/dd00136,嗚咽（狗）
76,/m/01yrx,貓
77,/m/02yds9,發出喉音
78,/m/07qrkrw,喵
79,/m/07rjwbb,嘶
80,/m/07r81j2,Caterwaul
81,/m/0ch8v,家畜，農場動物，工作動物
82,/m/03k3r,馬
83,/m/07rv9rh,馬蹄聲
84,/m/07q5rw0,馬嘶鳴
85,/m/01xq0k1,牛，牛亞科
86,/m/07rpkh9,武
87,/m/0239kh,牛鈴
88,/m/068zj,豬
89,/t/dd00018,豬鼻息
90,/m/03fwl,山羊
91,/m/07q0h5t,布萊特
92,/m/07bgp,羊
93,/m/025rv6n,雞
94,/m/09b5t,雞，公雞
95,/m/07st89h,咕
96,/m/07qn5dc,打鳴，公雞一 - 塗鴉鬥
97,/m/01rd7k,火雞
98,/m/07svc2k,狼吞虎咽
99,/m/09ddx,鴨
100,/m/07qdb04,嘎嘎
101,/m/0dbvp,鵝
102,/m/07qwf61,按喇叭
103,/m/01280g,野生動物
104,/m/0cdnk,咆哮的貓科動物（獅子，老虎）
105,/m/04cvmfc,怒吼
106,/m/015p6,鳥
107,/m/020bb7,鳥發聲，鳥呼叫，鳥歌
108,/m/07pggtn,啁啾，鳴叫
109,/m/07sx8x_,發牢騷
110,/m/0h0rv,鴿子，鴿子
111,/m/07r_25d,鴣鴣聲
112,/m/04s8yn,烏鴉
113,/m/07r5c2p,啼
114,/m/09d5_,貓頭鷹
115,/m/07r_80w,叱
116,/m/05_wcq,鳥飛行，翅膀扇動
117,/m/01z5f,犬科，犬，狼
118,/m/06hps,鼠害，大鼠，小鼠
119,/m/04rmv,鼠
120,/m/07r4gkf,小動物
121,/m/03vt0,昆蟲
122,/m/09xqv,蟋蟀
123,/m/09f96,蚊子
124,/m/0h2mp,飛，家蠅
125,/m/07pjwq1,蜂鳴器
126,/m/01h3n,蜜蜂，黃蜂等。
127,/m/09ld4,青蛙
128,/m/07st88b,發牢騷
129,/m/078jl,蛇
130,/m/07qn4z3,響尾蛇
131,/m/032n05,鯨魚發聲
132,/m/04rlf,音樂
133,/m/04szw,樂器
134,/m/0fx80y,彈撥樂器
135,/m/0342h,吉他
136,/m/02sgy,電吉他
137,/m/018vs,低音吉他
138,/m/042v_gx,原聲吉他
139,/m/06w87,鋼吉他，滑棒吉他
140,/m/01glhc,攻絲（吉他技巧）
141,/m/07s0s5r,亂彈
142,/m/018j2,班卓琴
143,/m/0jtg0,西塔
144,/m/04rzd,曼多林
145,/m/01bns_,箏
146,/m/07xzm,四弦琴
147,/m/05148p4,鍵盤（音樂）
148,/m/05r5c,鋼琴
149,/m/01s0ps,電鋼琴
